member,image_type,bin_0,bin_1,bin_2,bin_3,bin_4,bin_5,bin_6,bin_7,bin_8,bin_9,bin_10,bin_11,bin_12,bin_13,bin_14,bin_15,bin_16,bin_17,bin_18,bin_19,bin_20,bin_21,bin_22,bin_23,bin_24,bin_25,bin_26,bin_27,bin_28,bin_29,bin_30,bin_31,bin_32,bin_33,bin_34,bin_35,bin_36,bin_37,bin_38,bin_39,bin_40,bin_41,bin_42,bin_43,bin_44,bin_45,bin_46,bin_47
Nelly,neutral,7887,6106,10017,10338,3276,8753,5541,2017,4326,4108,625,1076,675,401,231,159,9267,13976,18873,15595,2555,1195,781,670,749,1045,385,211,170,59,5,0,10088,25223,21933,4085,1102,898,923,701,223,210,103,28,11,5,3,0
Nelly,smiling,7088,5733,9474,7163,7384,12494,3025,3072,5489,1650,540,894,458,387,273,412,8359,20174,20142,10088,2118,1010,712,586,650,867,324,273,181,52,0,0,15359,29659,14924,2054,989,735,654,610,288,155,64,26,15,4,0,0
Nelly,surprised,7631,5779,9720,6782,7622,11922,3107,3452,5231,1220,589,922,510,413,161,475,8598,18318,20085,11810,2027,878,717,601,699,935,409,239,188,30,2,0,11407,30777,16768,2887,856,828,672,782,289,173,51,20,14,12,0,0
Nelly,neutral_rotated,17064,5087,8618,9003,3077,5407,3863,1915,4240,4108,605,1087,672,408,227,155,18309,8864,15767,14945,2514,1194,735,630,722,1039,374,210,169,59,5,0,19595,18645,19401,3879,1047,856,888,672,205,211,92,27,9,7,2,0
Nelly,neutral_flipped,7887,6106,10017,10338,3276,8753,5541,2017,4326,4108,625,1076,675,401,231,159,9267,13976,18873,15595,2555,1195,781,670,749,1045,385,211,170,59,5,0,10088,25223,21933,4085,1102,898,923,701,223,210,103,28,11,5,3,0
Nelly,neutral_grayscale,8655,6512,18759,14852,8105,4124,893,688,636,1153,601,278,182,95,3,0,8655,6512,18759,14852,8105,4124,893,688,636,1153,601,278,182,95,3,0,8655,6512,18759,14852,8105,4124,893,688,636,1153,601,278,182,95,3,0
Nelly,smiling_rotated,16529,4908,7907,5358,5094,9706,2965,3017,5459,1628,543,894,456,382,277,413,17760,14396,17359,9314,2105,994,716,570,634,858,325,276,176,53,0,0,23345,24802,11996,1925,959,727,650,603,277,146,60,27,14,5,0,0
Nelly,smiling_flipped,7088,5733,9474,7163,7384,12494,3025,3072,5489,1650,540,894,458,387,273,412,8359,20174,20142,10088,2118,1010,712,586,650,867,324,273,181,52,0,0,15359,29659,14924,2054,989,735,654,610,288,155,64,26,15,4,0,0
Nelly,smiling_grayscale,7711,6555,25525,10718,8831,2177,825,613,564,971,437,312,244,53,0,0,7711,6555,25525,10718,8831,2177,825,613,564,971,437,312,244,53,0,0,7711,6555,25525,10718,8831,2177,825,613,564,971,437,312,244,53,0,0
Nelly,surprised_rotated,17022,4836,8151,5126,5255,9191,3067,3406,5200,1220,581,919,518,408,163,473,18016,12694,17500,10678,1975,883,718,587,699,921,402,251,183,27,2,0,20492,25082,13682,2617,845,826,677,763,289,170,46,22,14,11,0,0
